edge_idx,source,source_role,relationship,edge_rank,target,target_role,year,url
1093,George Knapp,author,interviewed,1,Matthew Brown,whistleblower,0,
1139,Jeremy Corbell,author,interviewed,1,Matthew Brown,whistleblower,0,
1140,Jeremy Corbell,author,interviewed,1,Stanton Friedman,scientist,0,Bob Lazar Area 51 UFO Debate: Stanton Friedman and Jeremy Corbell
1252,Ross Coulthart,author,interviewed,1,Tim Gallaudet,military,0,
1270,Sol Foundation,civ org,interviewed,1,Ana Paulina Luna,government,2023,
1271,Sol Foundation,civ org,interviewed,1,Jacques Valle,author,2023,
1272,Sol Foundation,civ org,interviewed,1,Jim Semivan,government,2023,
1306,Tim Ventura,podcast,interviewed,3,Alien Scientist,podcast,2023,
1149,Joe Rogan,podcast,interviewed,3,Avi Loeb,scientist,0,
1262,Shawn Ryan,podcast,interviewed,3,Avi Loeb,scientist,0,
1307,Tim Ventura,podcast,interviewed,3,Avi Loeb,scientist,2023,
1263,Shawn Ryan,podcast,interviewed,3,Billy Carson,author,0,
1150,Joe Rogan,podcast,interviewed,3,Bob Lazar,whistleblower,0,
1308,Tim Ventura,podcast,interviewed,3,Chris Lehto,podcast,2023,
1151,Joe Rogan,podcast,interviewed,3,Christopher Mellon,whistleblower,0,
1309,Tim Ventura,podcast,interviewed,3,Colm Kelleher,scientist,2023,
1152,Joe Rogan,podcast,interviewed,3,David Fravor,military,0,
1142,Jesse Michels,podcast,interviewed,3,David Grusch,military,0,
1264,Shawn Ryan,podcast,interviewed,3,DC Long,military,0,
1143,Jesse Michels,podcast,interviewed,3,Diana Pasulka,author,0,
1153,Joe Rogan,podcast,interviewed,3,Diana Pasulka,author,0,
1265,Shawn Ryan,podcast,interviewed,3,Diana Pasulka,author,0,
1310,Tim Ventura,podcast,interviewed,3,Eamonn Ansbro,scientist,2023,
1144,Jesse Michels,podcast,interviewed,3,Eric Davis,scientist,0,
1154,Joe Rogan,podcast,interviewed,3,Garry Nolan,scientist,0,
1311,Tim Ventura,podcast,interviewed,3,Garry Nolan,scientist,2023,
1155,Joe Rogan,podcast,interviewed,3,Hal Puthof,scientist,0,
1316,UAP Files Podcast,podcast,interviewed,3,Ivan Hannel,tbd,2025,Lue Elizondo’s Lawyer Reveals New Witness in NJ Drone Mystery : Ivan Hannel Esq.
1001,Alien Scientist,podcast,interviewed,3,Jack Sarfatti,scientist,0,
1312,Tim Ventura,podcast,interviewed,3,Jack Sarfatti,scientist,2023,
1156,Joe Rogan,podcast,interviewed,3,Jacques Valle,author,0,
